Hours,dni,dhi,ghi,wind_speed,temp_air
0.5,0.84,0.481667,0,4.66333,5.59167
1.5,0.72,0.343333,0,4.04167,5.63167
2.5,0.851667,0.336667,0,4.03167,5.71833
3.5,1.36833,0.218333,0,3.23833,5.835
4.5,0.743333,0.161667,0,1.70167,5.37333
5.5,0.565,0.05,0,0.866667,5.07333
6.5,1.125,0.0333333,0,1.19333,5.07333
7.5,1.135,0.0433333,0,2.70333,5.13833
8.5,1.25667,0.03,0,2.075,5.20167
9.5,0.815,0,0,2.58833,5.35333
10.5,0.371667,0.0983333,0,2.03333,5.13
11.5,0.836667,0.11,0,2.52167,4.925
12.5,1.08167,4.97167,2.71667,1.93,4.78
13.5,309.583,31.27,68.62,1.78667,5.245
14.5,688.672,55.9717,223.503,6.75833,5.83833
15.5,778.318,87.055,360.573,6.16,6.875
16.5,253.228,95.0433,197.183,5.355,7.78
17.5,0.00333333,55.9083,54.71,6.71833,7.25667
18.5,0.108333,45.695,43.9217,8.14167,6.94667
19.5,0.035,24.8133,21.9583,7.275,7.10667
20.5,21.305,33.7417,33.5,4.96167,7.41667
21.5,0.52,12.93,10.645,4.42833,7.89167
22.5,0.238333,0.498333,0,5.23,7.22
23.5,0.436667,0.445,0,5.38833,7.19333
24.5,0.0433333,0.593333,0,8.735,7.59333
25.5,0.798333,0.863333,0.00333333,10.22,5.185
26.5,0.986667,0.63,0,7.41167,3.32167
27.5,1.11833,0.565,0,9.18167,3.325
28.5,1.66667,0.881667,0,10.3167,1.69667
29.5,3.69667,0.661667,0,9.995,1.25667
30.5,1.64167,0.721667,0,8.61,0.723333
31.5,0.735,0.733333,0,10.0017,-0.206667
32.5,0.788333,0.79,0,8.02167,-1.60333
33.5,1.22833,0.668333,0,8.29667,-1.29833
34.5,1.16333,0.771667,0,8.285,-1.16667
35.5,1.05,0.718333,0,9.34833,-1.09667
36.5,0.861667,4.00333,1.64667,7.12833,-1.18667
37.5,1.09167,32.7967,29.5717,7.485,-1.15833
38.5,8.24167,85.9683,85.17,8.21333,-1.09667
39.5,16.98,125.03,128.688,8.99,-0.885
40.5,254.94,197.467,302.647,9.73333,-0.513333
41.5,103.035,218.558,263.867,8.76167,-0.505
42.5,77.3933,193.788,223.837,8.99333,-0.383333
43.5,222.008,174.878,243.93,8.04,-0.488333
44.5,128.693,93.8117,121.662,7.74333,-0.668333
45.5,39.1933,17.56,16.4417,6.37833,-2.16
46.5,1.43833,1.10167,0,6.98,-1.925
47.5,1.4,0.73,0,6.83,-2.35833
48.5,1.90667,0.648333,0,5.83,-2.46167
49.5,1.89,0.605,0,5.28667,-2.85333
50.5,2.21667,0.565,0,5.02667,-3.06667
51.5,2.145,0.663333,0,5.79667,-3.18333
52.5,2.04667,0.586667,0,5.10667,-3.47167
53.5,2.16667,0.568333,0,4.96,-3.72
54.5,2.25167,0.443333,0,3.77667,-4.32833
55.5,3.38333,0.213333,0,2.63333,-4.88833
56.5,3.26333,0.275,0,3.23833,-5.02
57.5,2.59667,0.458333,0,4.29167,-5.59
58.5,2.43667,0.533333,0,4.65333,-6.23333
59.5,2.09,0.466667,0,4.105,-6.63167
60.5,1.57667,5.37,2.87333,5.245,-6.86
61.5,303.45,42.135,78.3583,3.67833,-7.10333
62.5,466.132,100.588,202.903,4.31333,-6.825
63.5,35.2567,164.54,173.592,4.40167,-6.98333
64.5,15.4667,177.833,182.242,3.40167,-7.06
65.5,43.6983,233.587,250.068,4.35333,-6.79667
66.5,1.12667,109.203,107.995,4.59,-8.13
67.5,10.3017,131.848,130.375,4.05667,-8.36667
